Enunciado;Alternativa correcta;Alternativa 1;Alternativa 2;Alternativa3; Alternativa 4
Una planta de tuna crece en zonas con poca presencia de agua y esta carencia no la afecta, pues produce frutos jugosos. Plantas como la tuna soportan grandes sequías porque algunos de sus órganos almacenan agua. ¿Qué órgano y qué tejido de esta planta permiten que se haya adaptado perfectamente a estos ambientes?;4;hoja - parénquima ;tallo - peridermis ;raíz - meristemo ;tallo – parénquima
El Protocolo de Kyoto forma parte de la Convención Marco de las Naciones Unidas sobre el Cambio Climático y se realizó porque se constataba un aumento progresivo de la temperatura superficial del planeta. Teniendo en cuenta esta motivación, señale cuál fue el objetivo fundamental del protocolo.;4;manejo sostenible en zonas áridas, semiáridas y subhúmedas;protección de la salud humana ante las emisiones de mercurio;manejo del vertimiento de relaves mineros con cobre, oro y plata;reducción de la emisión de los gases de efecto invernadero
Elisa estuvo informándose acerca de los riesgos de ingerir ensaladas frescas con verduras mal lavadas. Ella gusta de prepararlas en su casa y esta vez quiso preparar una ensalada con berros. Ahora se encuentra preocupada y se pregunta cuál es la parasitosis que podría adquirirse si no lava y se desinfectan adecuadamente las verduras frescas;4;Salmonelosis;Equinococosis;Enterobiosis;Fasciolosis
La biorremediación comprende procesos que utilizan microorganismos gracias a su capacidad metabólica para degradar o transformar sustancias dañinas que se encuentran en el suelo y el agua, con la mínima alteración de la estructura de estos. Por ejemplo, pueden realizar esta función las bacterias Pseudomona putida y Escherichia coli y los géneros Cyanobacterium sp. y Syneococcus sp., entre otros. Sin embargo, hay actividades que estos microorganismos no pueden realizar. Una de ellas es;1;degradar metales, como cadmio, mercurio y uranio;participar en la degradación de alcohol, benceno y acetona;inactivar los efectos causados por los contaminantes;restaurar ecológicamente los diversos ecosistemas
Son macromoléculas ampliamente distribuidas en todos los seres vivos, su función es permitir las actividades metabólicas del organismo, y su especificidad funcional ha conllevado a que, actualmente, exista un gran número de grupos, lo que depende del tipo de reacción. La anterior descripción corresponde, específicamente, a las macromoléculas conocidas como:;1;enzimas;aminoácidos;vitaminas;glúcidos
Un científico recibe una muestra acuosa y procede a determinar si en ella hay presencia de bacterias, protozoarios, hongos unicelulares, etc. Si contara con un microscopio electrónico que le permitiera ver con claridad estas células para poder diferenciar las procariontes de las eucariontes, el científico tendría que verificar que;1;la célula procarionte carezca de envoltura nuclear;exista citoesqueleto en la bacteria que observa;las bacterias no cuenten con membrana celular;las procariontes no cuenten con ningún ribosoma
La replicación del DNA es una de las funciones clave en la transmisión del material hereditario. En este proceso, intervienen una serie de enzimas que cumplen una función específica. Por ejemplo, la enzima helicasa:;1;abre el DNA en la horquilla de replicación;evita el superenrollamiento del DNA;sintetiza cebadores de RNA;une los fragmentos de DNA
Es un tejido reemplazado progresivamente en la etapa fetal. Es esencial en la formación y crecimiento longitudinal de huesos largos, y permanece hasta la adultez en algunas partes del cuerpo, como en la tráquea, los bronquios y la laringe. Este tipo de tejido cartilaginoso se denomina;1;hialino;fibroso;elástico;reticular
En un laboratorio, se ha observado que cierta cepa de ratones presenta músculos flácidos con contracciones no enérgicas. Esto se debe a que presentan una malformación a nivel del;1;cerebelo;cerebro;puente de Varolio;tallo cerebral
Se cruzan dos individuos de Pisum sativum, ambos de líneas puras: uno de semilla amarilla y vaina amarilla, y otro de semilla verde y vaina verde. Si se obtiene un F2 de 640 descendientes, ¿cuántos presentarán vaina verde?;1;480;360;120;320
